tecnologia,tempo_ms,tamanho_bytes
REST,0.727500,326
GraphQL,0.964000,57
REST,0.697200,329
GraphQL,0.911300,57
REST,0.897600,322
GraphQL,0.877700,53
REST,0.899600,328
GraphQL,1.152800,54
REST,0.688700,324
GraphQL,0.901800,52
REST,0.677900,328
GraphQL,0.881000,55
REST,0.688500,326
GraphQL,0.876300,54
REST,0.980000,328
GraphQL,1.223000,56
REST,0.799900,326
GraphQL,1.091600,54
REST,0.932500,332
GraphQL,1.171000,57
REST,0.824300,325
GraphQL,1.544500,53
REST,0.877200,326
GraphQL,0.948700,57
REST,0.695500,326
GraphQL,0.894600,55
REST,0.800200,325
GraphQL,0.971300,51
REST,0.837100,326
GraphQL,1.109600,57
REST,0.737600,326
GraphQL,1.112100,54
REST,0.752500,328
GraphQL,1.173300,54
REST,0.672000,324
GraphQL,1.309500,52
REST,0.845800,322
GraphQL,0.924500,53
REST,0.726000,331
GraphQL,0.880100,57
REST,0.707300,327
GraphQL,0.886200,53
REST,0.705100,324
GraphQL,1.062900,53
REST,0.848600,328
GraphQL,1.184000,54
REST,0.788800,329
GraphQL,1.139100,56
REST,0.735200,326
GraphQL,0.908000,54
REST,0.843600,328
GraphQL,0.955000,54
REST,0.672500,321
GraphQL,0.962400,50
REST,0.801800,326
GraphQL,0.892600,55
REST,0.659800,329
GraphQL,0.895500,56
REST,0.851500,330
GraphQL,1.082300,56
REST,0.717100,324
GraphQL,0.966700,52
REST,0.699200,325
GraphQL,0.863900,55
REST,0.768300,321
GraphQL,0.879900,50
REST,0.811600,328
GraphQL,0.920900,54
REST,0.800900,325
GraphQL,0.906700,55
REST,0.660100,325
GraphQL,0.832700,52
REST,0.623700,326
GraphQL,0.847700,54
REST,0.845100,327
GraphQL,1.043600,52
REST,0.691800,327
GraphQL,0.937700,52
REST,0.694400,328
GraphQL,0.892600,54
REST,0.641700,329
GraphQL,0.841000,55
REST,0.800900,320
GraphQL,0.926600,52
REST,0.791800,328
GraphQL,0.948700,56
REST,0.680500,326
GraphQL,0.892100,54
REST,0.659100,329
GraphQL,0.847100,56
