url,criado_em,atualizado_em,dias_desde_ultimo_push,dono,estrelas,idade_anos,idade_dias,nome_completo,nome_repo
https://github.com/goldbergyoni/nodebestpractices,2017-09-15T08:33:19Z,2025-04-15T21:52:42Z,379,goldbergyoni,105238,8.6215,3149,goldbergyoni/nodebestpractices,nodebestpractices
https://github.com/2dust/v2rayN,2019-07-30T03:47:24Z,2026-04-30T12:15:30Z,0,2dust,104086,6.7515,2466,2dust/v2rayN,v2rayN
https://github.com/facebook/create-react-app,2016-07-17T14:55:11Z,2025-02-15T01:32:11Z,439,facebook,103464,9.7851,3574,facebook/create-react-app,create-react-app
https://github.com/deepseek-ai/DeepSeek-V3,2024-12-26T09:52:40Z,2025-08-28T03:24:37Z,245,deepseek-ai,103328,1.3415,490,deepseek-ai/DeepSeek-V3,DeepSeek-V3
https://github.com/jaywcjlove/awesome-mac,2016-07-17T15:33:47Z,2026-04-29T09:35:50Z,1,jaywcjlove,103009,9.7851,3574,jaywcjlove/awesome-mac,awesome-mac
https://github.com/microsoft/terminal,2017-08-11T18:38:22Z,2026-04-30T15:41:03Z,0,microsoft,102978,8.7173,3184,microsoft/terminal,terminal
https://github.com/google-gemini/gemini-cli,2025-04-17T17:04:31Z,2026-04-30T19:02:09Z,0,google-gemini,102812,1.0349,378,google-gemini/gemini-cli,gemini-cli
https://github.com/forrestchang/andrej-karpathy-skills,2026-01-27T03:53:13Z,2026-04-20T10:05:04Z,10,forrestchang,102311,0.2546,93,forrestchang/andrej-karpathy-skills,andrej-karpathy-skills
https://github.com/supabase/supabase,2019-10-12T05:56:49Z,2026-04-30T19:18:23Z,0,supabase,101662,6.5489,2392,supabase/supabase,supabase
https://github.com/angular/angular,2014-09-18T16:12:01Z,2026-04-29T23:09:20Z,0,angular,100055,11.614,4242,angular/angular,angular
https://github.com/Anduin2017/HowToCook,2020-02-29T10:43:49Z,2026-04-12T05:52:37Z,18,Anduin2017,99720,6.1656,2252,Anduin2017/HowToCook,HowToCook
https://github.com/pytorch/pytorch,2016-08-13T05:26:41Z,2026-04-30T19:13:08Z,0,pytorch,99559,9.7112,3547,pytorch/pytorch,pytorch
https://github.com/immich-app/immich,2022-02-03T15:56:27Z,2026-04-30T18:24:19Z,0,immich-app,99360,4.2355,1547,immich-app/immich,immich
https://github.com/neovim/neovim,2014-01-31T13:39:22Z,2026-04-30T17:42:53Z,0,neovim,99231,12.2437,4472,neovim/neovim,neovim
https://github.com/mtdvio/every-programmer-should-know,2017-08-24T13:18:26Z,2025-12-29T19:37:02Z,121,mtdvio,98854,8.6817,3171,mtdvio/every-programmer-should-know,every-programmer-should-know
https://github.com/openai/whisper,2022-09-16T20:02:54Z,2026-04-15T16:32:15Z,15,openai,98687,3.6167,1321,openai/whisper,whisper
https://github.com/mui/material-ui,2014-08-18T19:11:54Z,2026-04-30T18:20:05Z,0,mui,98256,11.6988,4273,mui/material-ui,material-ui
https://github.com/ant-design/ant-design,2015-04-24T15:37:24Z,2026-04-30T16:33:50Z,0,ant-design,97901,11.0171,4024,ant-design/ant-design,ant-design
https://github.com/fastapi/fastapi,2018-12-08T08:21:47Z,2026-04-30T16:04:11Z,0,fastapi,97786,7.3922,2700,fastapi/fastapi,fastapi
https://github.com/nvbn/thefuck,2015-04-08T15:08:04Z,2024-07-19T14:56:13Z,650,nvbn,96768,11.0609,4040,nvbn/thefuck,thefuck
https://github.com/microsoft/Web-Dev-For-Beginners,2020-11-10T02:44:00Z,2026-04-24T22:07:07Z,5,microsoft,95696,5.4675,1997,microsoft/Web-Dev-For-Beginners,Web-Dev-For-Beginners
https://github.com/tailwindlabs/tailwindcss,2017-10-06T14:59:14Z,2026-04-30T17:40:33Z,0,tailwindlabs,94810,8.564,3128,tailwindlabs/tailwindcss,tailwindcss
https://github.com/ryanmcdermott/clean-code-javascript,2016-11-25T22:25:41Z,2024-07-29T07:24:37Z,640,ryanmcdermott,94295,9.4237,3442,ryanmcdermott/clean-code-javascript,clean-code-javascript
https://github.com/puppeteer/puppeteer,2017-05-09T22:16:13Z,2026-04-30T19:16:52Z,0,puppeteer,94220,8.9719,3277,puppeteer/puppeteer,puppeteer
https://github.com/iluwatar/java-design-patterns,2014-08-09T16:45:18Z,2026-03-20T21:23:33Z,40,iluwatar,93958,11.7235,4282,iluwatar/java-design-patterns,java-design-patterns
https://github.com/florinpop17/app-ideas,2019-02-25T18:36:56Z,2025-10-11T14:51:21Z,201,florinpop17,93565,7.1759,2621,florinpop17/app-ideas,app-ideas
https://github.com/nvm-sh/nvm,2010-04-15T17:47:47Z,2026-04-24T18:05:27Z,6,nvm-sh,93158,16.0411,5859,nvm-sh/nvm,nvm
https://github.com/hacksider/Deep-Live-Cam,2023-09-24T13:19:31Z,2026-04-29T14:31:09Z,1,hacksider,92502,2.5982,949,hacksider/Deep-Live-Cam,Deep-Live-Cam
