tecnologia,tempo_ms,tamanho_bytes
REST,0.793315,325
GraphQL,1.285104,55
REST,0.810448,328
GraphQL,1.154334,54
REST,0.733290,327
GraphQL,1.228856,54
REST,0.718081,326
GraphQL,1.041137,54
REST,0.730434,326
GraphQL,1.148834,55
REST,0.878448,325
GraphQL,1.082327,55
REST,1.035026,321
GraphQL,1.180023,50
REST,0.873277,326
GraphQL,0.995852,57
REST,0.889348,330
GraphQL,1.246639,53
REST,0.745975,327
GraphQL,1.057900,52
REST,0.781482,325
GraphQL,1.089830,52
REST,0.680770,325
GraphQL,1.148743,53
REST,0.875581,327
GraphQL,1.119538,52
REST,0.722209,327
GraphQL,1.404030,53
REST,0.769318,326
GraphQL,1.042410,57
REST,0.772255,324
GraphQL,1.419520,53
REST,0.917762,325
GraphQL,1.270866,53
REST,1.045817,322
GraphQL,1.154474,53
REST,0.770371,325
GraphQL,1.043622,51
REST,1.031399,331
GraphQL,1.247642,57
REST,0.806169,329
GraphQL,1.336542,57
REST,0.996122,322
GraphQL,1.094078,53
REST,0.842639,325
GraphQL,1.139215,57
REST,0.760272,329
GraphQL,0.970964,57
REST,0.794968,328
GraphQL,1.019146,56
REST,0.784748,328
GraphQL,1.353925,56
REST,1.230855,325
GraphQL,1.298920,57
REST,0.854862,331
GraphQL,1.636139,57
REST,0.879297,324
GraphQL,1.357822,53
REST,0.967848,327
GraphQL,1.106283,53
REST,0.809015,326
GraphQL,1.099619,54
REST,0.903904,322
GraphQL,1.030127,53
REST,0.943882,324
GraphQL,1.135538,53
REST,0.877456,326
GraphQL,1.181088,55
REST,0.744363,329
GraphQL,1.066037,52
REST,0.732604,325
GraphQL,1.144976,53
REST,0.813964,328
GraphQL,1.700937,56
REST,0.930702,323
GraphQL,1.155897,53
REST,0.902533,327
GraphQL,1.232003,55
REST,0.754881,326
GraphQL,1.038404,54
REST,0.909718,326
GraphQL,1.103487,57
REST,0.777455,326
GraphQL,1.297417,54
REST,0.919946,326
GraphQL,1.097075,54
REST,0.746576,327
GraphQL,1.279904,52
REST,0.843091,328
GraphQL,1.107334,56
REST,0.873042,325
GraphQL,1.715564,52
REST,0.888497,322
GraphQL,1.206585,53
REST,0.831728,321
GraphQL,1.127313,50
REST,0.740814,324
GraphQL,1.198583,53
REST,1.090282,325
GraphQL,1.269754,57
REST,0.796920,328
GraphQL,1.339872,54
REST,0.829831,326
GraphQL,1.182989,54
REST,0.968992,327
GraphQL,1.226954,52
REST,0.747798,328
GraphQL,1.003795,56
REST,0.950736,326
GraphQL,1.035837,55
REST,0.735434,327
GraphQL,1.229545,56
REST,0.918662,328
GraphQL,1.119267,54
REST,0.702189,331
GraphQL,1.057846,57
REST,0.736785,325
GraphQL,0.988265,57
REST,0.833203,325
GraphQL,1.542935,53
REST,1.505139,324
GraphQL,2.434037,52
REST,1.246560,329
GraphQL,1.606506,52
REST,1.223576,325
GraphQL,1.653326,53
REST,1.244010,333
GraphQL,2.110582,58
REST,1.472612,328
GraphQL,3.387496,54
REST,0.999017,328
GraphQL,1.295664,53
REST,0.803013,327
GraphQL,1.125188,59
REST,0.839222,329
GraphQL,1.056026,57
REST,0.693294,330
GraphQL,1.116973,57
REST,0.780530,329
GraphQL,0.977648,57
REST,0.667594,327
GraphQL,1.513770,54
REST,0.794216,320
GraphQL,1.132482,53
REST,0.895129,320
GraphQL,1.325622,53
REST,0.826603,327
GraphQL,1.369014,54
REST,1.057939,326
GraphQL,1.528218,54
REST,0.970464,326
GraphQL,1.407367,53
REST,0.894784,329
GraphQL,1.229713,57
REST,0.981304,325
GraphQL,1.965302,51
REST,0.946757,330
GraphQL,1.454807,57
REST,0.819735,322
GraphQL,1.568284,53
REST,1.193498,328
